0	1	2
3.E.1.7.2	"Channelrhodopsin-2 (chlamyrhodopsin-4 of 737 aas and 7 N-terminal TMSs; ChR2; CR2; Cop4; CSOB) (light-gated cation-selective ion channel (both monovalent and divalent cations (H+, Na+, K+, and Ca2+) are transported)) (Nagel et al., 2003). Berndt et al. (2010) showed that ChR2 has two open states with differing ion selectivities. The channel is fairly nonspecific at the beginning of a light pulse, and becomes more specific for protons during longer periods of light exposure. Residues involved in channel closure have been identified (Bamann et al. 2010).  ChR2 is 712 aas long; the MR domain is N-terminal (Lee et al. 2015). The free energy profiles computed for proton transfer to the counterion, either via a direct jump or mediated by a water molecule, demonstrate that, when retinal is all-trans, water and protein electrostatic interactions largely favour the protonated retinal Schiff base state (Adam and Bondar 2018).
   Blue light illumination of ChR2 activates an intrinsic leak channel conductive for cations. Sequence comparison of ChR2 with the related ChR1 protein revealed a cluster of charged amino acids within the predicted transmembrane domain 2 (TM2), which includes glutamates E90, E97 and E101. Charge inversion substitutions altered ChR2 function, replacement of E90 by lysine or alanine resulted in differential effects on H+- and Na+-mediated currents. These results are consistent with this glutamate side chain within TMS2 contributing to ion flux through and the cation selectivity of ChR2 (Ruffert et al., 2011). Glutamate residue-97 lies in the outer pore where it interacts with a cation to facilitate dehydration. This residue is also the primary binding target of Gd3+(Tanimoto et al., 2012).  Channelrhodopsin has been converted into a light-gated chloride channel (Wietek et al. 2014).  TMSs 2, 6 and 7 reorient or rearrange during the photocycle with no major differences near TMSs 3 and 4 at the dimer
interface. TMS2 plays a key role in light-induced channel opening and
closing in ChR2 (Müller et al. 2015).  Negative charges at the extracellular side of transmembrane
domain 7 funnel cations into the pore (Richards and Dempski 2015).  CrChR2, is the most widely used optogenetic tool in neuroscience.  Water efflux and the cessation of the ion conductance are synchronized (Lórenz-Fonfría et al. 2015).  light and pH induce changes in the structure and accessibility of TMSB (Volz et al. 2016). Residues V86, K93 and N258 form a putative barrier to ion translocation. These residues contribute to cation selectivity (V86 and N258), the
transition between the two open states (V86), open channel stability, and the hydrogen-bonding
network (K93I and K93N) (Richards and Dempski 2017). The x-ray structure is available and reveals much about the mechanism of channel regulation (Gerwert 2017; Volkov et al. 2017). The mechanism of formation of the ion channel of ChR2 has been studed by molecular dynamics simulation and steering (Yang et al. 2019). The effects on ion channel activities of different protonation states of E90 in channelrhodopsin-2 have been described (Cheng et al. 2021). Yang et al. 2023 have designed a  TRP-like biohybrid sensor by integrating upconversion nanoparticles (UCNP) and optogenetically engineered cells on a graphene transistor for infrared sensing and imaging. They used UCNP and ChR2 within the sensor in place of TRPs. (Yang et al. 2023). Light activation of ChR2 augments an influx of Na+ with a consequent 
inhibition of cell growth. In a K+ uptake deficient yeast strain, growth
 can be rescued in selective medium by the blue light induced K+ conductance of ChR (Höler et al. 2023)."	Algae
3.E.1.7.3	Channelrhodopsin-2 (ChR2) of light-gated ion channel. A 6 Å projection map is available (Müller et al., 2011). Glutamate residue-97 lies in the outer pore where it interacts with a cation to facilitate dehydration. This residue is also the primary binding target of Gd3+ (Tanimoto et al., 2012). Cardiomyocytes expressing ChR2 upon optical stimulation depolarize, resulting from alterations of membrane voltage and intracellular calcium (Keshmiri Neghab et al. 2021).	Channelrhodopsin-2 of Volvox carteri (B4Y105)
3.E.1.7.4	Channelopsin, MChR1 (Govorunova et al., 2011). In another channelrhodopsin (CrChR2) of this family, an E97A mutation in TMS 2 prevents high affiinity binding of the inhibitor, Gd3+ and interfers with photocurrent, but this ChR1 with an alanine at this position, has low affininty for Gd3+ but normal photocurrent (Watanabe et al. 2016).	Plants
3.E.1.7.5	Channel rhodopsin of 829 aas and 7 N-terminal TMSs, KnChR.  Channelrhodopsins (ChRs) are light-gated cation (H+, Na+, K+, and Ca2+) channels extensively applied as optogenetics tools for manipulating neuronal activity. All ChRs have a large cytoplasmic domain. The cation channel properties of KnChR from a filamentous terrestrial alga, Klebsormidium nitens, have been described (Tashiro et al. 2021). The C-terminal cytoplasmic domain has a peptidoglycan binding domain (FimV), and modulates the ion channel properties. The channel closure rate is affected by the C-terminus moiety, and truncation of the moiety to various lengths prolongs the channel open lifetime by more than 10-fold. Two Arginine residues (R287 and R291) are crucial for altering the photocurrent kinetics. Tashiro et al. 2021 proposed that electrostatic interaction between the rhodopsin domain and the C-terminal domain accelerates the channel kinetics. Maximal sensitivity was observed at 430 and 460 nm, the former making KnChR one of the most blue-shifted ChRs, serving as a novel prototype for studying the molecular mechanism of color tuning of the ChRs.	KnChR of Klebsormidium nitens
3.E.1.7.6	Catonic channelrhodopsin 1 of 630 aas and probably 7 N-terminal TMSs. (see Idzhilova et al. 2022 for reference).	Channelrhodopsin 1 of Tetraselmis subcordiformis (Platymonas subcordiformis) (Carteria subcordiformis)
3.E.1.7.7	Cationic channelrhodopsin 3 of 511 aas and 7 probable TMSs (see Idzhilova et al. 2022.	Cationic channelrhodoopsin 3 of Tetraselmis subcordiformis (Platymonas subcordiformis) (Carteria subcordiformis)
3.E.1.7.8	Light-activated cation selective ion channel [synthetic construct] of 344 aas and 7 probable TMSs. It is also called ComV1 or Ex3mV1Co. Channelrhodopsins have been utilized in gene therapy to restore vision in patients with retinitis pigmentosa (Hatakeyama et al. 2023). Channel kinetics (tauon and tauoff) were considerably altered by the replacement of the 172nd amino acid and was dependent on the amino acid characteristics. The size of amino acids at this position correlated with tauon and decay, whereas the solubility correlated with tauon and tauoff. Molecular dynamic simulation indicated that the ion tunnel constructed by H172, E121, and R306 widened due to H172A variant, whereas the interaction between A172 and the surrounding amino acids weakened compared with H172. The bottleneck radius of the ion gate constructed with the 172nd amino acid affected the photocurrent and channel kinetics. The 172nd amino acid in ComV1 is a key residue for determining channel kinetics as its properties alter the radius of the ion gate (Hatakeyama et al. 2023).	ComsV1, synthetic construct
3.E.1.7.9	Channel rhodopsin, mVChR1, synthetic construct, of 344 aas with possibly 7 TMSs (Tomita et al. 2014). This system has been used for the development of an optogenetic gene sensitive to daylight and it use in vision restoration for people (Watanabe et al. 2021).	mVChR1, a synthetic construct
TC#	Name	Organismal Type
3.E.1.8.1	Anion-specific light-gated channel rhodopsin of 438 aas, Acr1, lacking measurable cation transport capability (Govorunova et al. 2015). The crystal structure of the light-gated anion channel, GtACR1, revealed a continuous tunnel traversing the protein from extracellular to intracellular sides (Li et al. 2021). The tunnel is the conductance channel closed by three constrictions: C1 in the extracellular half, mid-membrane C2 containing the photoactive site, and C3 on the cytoplasmic side. The crystal structure of bromide-bound GtACR1 revealed structural changes that relax the C1 and C3 constrictions, including a novel salt-bridge switch mechanism involving C1 and the photoactive site. Thus, substrate binding induces a transition from an inactivated state to a pre-activated state in the dark that facilitates channel opening by reducing free energy in the tunnel constrictions. The results provide direct evidence that the tunnel is the closed form of the channel of GtACR1 and shed light on the light-gated channel activation mechanism (Li et al. 2021).  The preferential transport of NO3- by full-length Guillardia theta anion channelrhodopsin 1, ACR1, is enhanced by its extended cytoplasmic domain (Ohki et al. 2023).	Arc1 of Guillardia theta
3.E.1.8.2	Anion-specific light-gated channel rhodopsin of 438 aas, Acr2, lacking measurable cation transport capability (Govorunova et al. 2015). Two conserved carboxylates, E159 and D230, play roles in the anion transport activity of ACR2 (Kojima et al. 2018).	Acr2 of Guillardia theta
3.E.1.8.3	Homologue of anion-specific light-gated channel rhodopsin of 461 aas and 7 putative TMSs, lacking apparent channel activity  (Govorunova et al. 2015).	Acr homologue of Guillardia theta
3.E.1.8.4	Synthetic anion-specific channelrhodopsin of 307 aas and 7 TMSs, derived from an anion channel of Guillardia theta (Govorunova et al. 2018).	Channelrhodopsin of Guillardia theta
3.E.1.8.5	Light-activated anion channel rhodopsin of 300 aas and 7 TMSs [synthetic construct]. It is very similar or identical to PsuACR_353, a light-gated anion-selective channel from the marine cryptophyte algae, Proteomonas sulcata, with the highest transport rate for nitrate (NO3-) (Kikuchi et al. 2021). A Thr residue in the third TMS, which corresponds to Cys102 in GtACR1, contributes to the preference for NO3-.	PsuACR_353 of Proteomonas sulcata
TC#	Name	Organismal Type
TC#	Name	Organismal Type
4.A.5.1.1	Galactitol porter	Bacteria
4.A.5.1.2	Pentitol [arabitol (arabinitol, lyxitol)/xylitol] PTS permease, IICBA (encoded within an operon that also encodes a polyol-P dehydrogenase, a ribose-5-P isomerase, a ribulose 5-P-3-epimerase, and a BlgG-type PTS antiterminator) (Saklani-Jusforgues et al., 2001; Kentache et al. 2016).	Bacteria
4.A.5.1.3	Paralogous system of the E. coli galactitol PTS permease system, SgcABC (SgcC is annotated as a KpLE2 phage-like element).	Bacteria
4.A.5.1.4	Paralogous system of the E. coli galactitol PTS permease system, PTS-galactitol family (Pgf).	Bacteria
4.A.5.1.5	Galactitol enzyme II complex, IIAGat - IIBGat - IICGat (based on homology)	Archaea
4.A.5.1.6	Putative galactitol Enzyme II complex of the PTS (IIAgat, IIBgat, IICgat)	Fusobacteria
4.A.5.1.7	Putative pentitol PTS permease, IIABC.  Induced by arabitol, but this pentitol did not appear to be a substrate.  Encoded within an operon that also encodes a putative polyol-P dehydrogenase and enzymes of the pentose phosphate pathway (PPP) (Kentache et al. 2016).	Putative pentitol group translocator of Listeria monocytogenes IIA, 155 aasIIB, 97 aasIIC, 423 aas
TC#	Name	Organismal Type
2.A.128.1.1	The 4 TMS VanZ MDR export system confers resistance to teicoplanin and dalbavancin in Streptococcus agalactiae (Lai et al. 2017).	VanZ of Streptococcus agalactiae
2.A.128.1.10	VanZ homologue of 224 aas and 6 TMSs	VanZ homologue of Flavisolibacter ginsengisoli
2.A.128.1.11	VanZ family proteinof 122 aas and 4 TM	VanZ of Roseivirga seohaensis
2.A.128.1.12	Teicoplanin resistance protein VanZ of 120 aas and 4 TMSs.	VanZ of Campylobacter concisus
2.A.128.1.13	VanZ family proteinof 204 aas and 5 TMSs	VanZ of Parapedobacter indicus
2.A.128.1.14	VanZ family proteinof 125 aas and 4 TM	VanZ of Nostoc carneum
2.A.128.1.15	Uncharacterized protein of 247 aas and 8 TMSs, where the first 4 TMSs are homologous to VanZ proteins	UP of Phycisphaerae bacterium
2.A.128.1.16	VanZ family proteinof 119 aas and 4 TMSs.	VanZ of Pelodictyon phaeoclathratiforme
2.A.128.1.17	VanZ like family proteinof 118 aas and 4 TM	VanZ of Flavobacterium terrigena
2.A.128.1.18	VanZ like family proteinof 270 aas and 4 central TM	VanZ of Colletotrichum nymphaeae
2.A.128.1.19	VanZ family protein of 202 aas and 5 TMSs in a 1 + 2 + 2 arrangement.	VanZ of Enterococcus asini
2.A.128.1.2	VanZ homologue of 210 aas and 5 TMSs.	VanZ of Bacillus cereus
2.A.128.1.20	Teicoplanin resistance protein, VanZ1 of 169 aas and 5 (or 6) putative TMSs in a 1 + 4 arrangement (or in a 6 TMS arrangement). Its synthesis is induced by the antiicrobial peptide, LL-37 (1.C.33.1.10), but not by many other antimicrobials tested (Woods et al. 2018).	VanZ1 of Peptoclostridium difficile (Clostridium difficile)
2.A.128.1.3	VanZ homologue of 181 aas and 5 TMSs	VanZ of Listeria grandensis
